name,author,genre,series,description
Aarik,Brandon Sanderson,fantasy,,
Aaron,Brandon Sanderson,fantasy,,
Abaray,Brandon Sanderson,fantasy,,
Abiajan,Brandon Sanderson,fantasy,,
Abigail Reed,Brandon Sanderson,fantasy,,
Abraham Desjardins,Brandon Sanderson,fantasy,,
Abrial,Brandon Sanderson,fantasy,,
Abrobadar,Brandon Sanderson,fantasy,,
Abronai,Brandon Sanderson,fantasy,,
Abry,Brandon Sanderson,fantasy,,
Absence,Brandon Sanderson,fantasy,,
Acis,Brandon Sanderson,fantasy,,
Acumidian delver,Brandon Sanderson,fantasy,,
Adam Li,Brandon Sanderson,fantasy,,
Adam Makings,Brandon Sanderson,fantasy,,
Adelle Choi,Brandon Sanderson,fantasy,,
Adien,Brandon Sanderson,fantasy,,
Adin,Brandon Sanderson,fantasy,,
Adis,Brandon Sanderson,fantasy,,
Adolin Kholin,Brandon Sanderson,fantasy,,
Adoline,Brandon Sanderson,fantasy,,
Adonalsium,Brandon Sanderson,fantasy,,
Adonalsium/en,Brandon Sanderson,fantasy,,
Adrotagia,Brandon Sanderson,fantasy,,
Aeo,Brandon Sanderson,fantasy,,
Aesudan Kholin,Brandon Sanderson,fantasy,,
Agil,Brandon Sanderson,fantasy,,
Ahan,Brandon Sanderson,fantasy,,
Aharat,Brandon Sanderson,fantasy,,
Ahmes,Brandon Sanderson,fantasy,,
Ais,Brandon Sanderson,fantasy,,
Ala,Brandon Sanderson,fantasy,,
Alabet,Brandon Sanderson,fantasy,,
Aladar,Brandon Sanderson,fantasy,,
Alai,Brandon Sanderson,fantasy,,
Alakavish,Brandon Sanderson,fantasy,,
Alalan,Brandon Sanderson,fantasy,,
Alalhawithador,Brandon Sanderson,fantasy,,
Alanik,Brandon Sanderson,fantasy,,
Alavah,Brandon Sanderson,fantasy,,
Alaward,Brandon Sanderson,fantasy,,
Alaxia,Brandon Sanderson,fantasy,,
Alazansi,Brandon Sanderson,fantasy,,
Alcatraz Smedry,Brandon Sanderson,fantasy,,
Alds,Brandon Sanderson,fantasy,,
Aledin,Brandon Sanderson,fantasy,,
Alendi,Brandon Sanderson,fantasy,,
Alernath,Brandon Sanderson,fantasy,,
Alezarv,Brandon Sanderson,fantasy,,
Alfir,Brandon Sanderson,fantasy,,
Algernon Weight,Brandon Sanderson,fantasy,,
Ali-daughter-Hasweth,Brandon Sanderson,fantasy,,
Alili,Brandon Sanderson,fantasy,,
Alim,Brandon Sanderson,fantasy,,
Allahn,Brandon Sanderson,fantasy,,
Allekatrase,Brandon Sanderson,fantasy,,
Allik Neverfar,Brandon Sanderson,fantasy,,
Allmother,Brandon Sanderson,fantasy,,
Alloran Feltri,Brandon Sanderson,fantasy,,
Allri Innate,Brandon Sanderson,fantasy,,
Allriandre,Brandon Sanderson,fantasy,,
Allrianne Cett,Brandon Sanderson,fantasy,,
Allrianne's mother,Brandon Sanderson,fantasy,,
Alonoe,Brandon Sanderson,fantasy,,
Alstben,Brandon Sanderson,fantasy,,
Altoki,Brandon Sanderson,fantasy,,
Aluki,Brandon Sanderson,fantasy,,
Aluko,Brandon Sanderson,fantasy,,
Alvettaren,Brandon Sanderson,fantasy,,
Amala,Brandon Sanderson,fantasy,,
Amaranta,Brandon Sanderson,fantasy,,
Amark,Brandon Sanderson,fantasy,,
Ambrian,Brandon Sanderson,fantasy,,
Amuna,Brandon Sanderson,fantasy,,
Andrew Nalizar,Brandon Sanderson,fantasy,,
Anesa,Brandon Sanderson,fantasy,,
Angola Dartmoor,Brandon Sanderson,fantasy,,
Annarel,Brandon Sanderson,fantasy,,
Anthony Davis,Brandon Sanderson,fantasy,,
Antillius Shezler,Brandon Sanderson,fantasy,,
Antique,Brandon Sanderson,fantasy,,
Aona,Brandon Sanderson,fantasy,,
Apara,Brandon Sanderson,fantasy,,
Ape Manton,Brandon Sanderson,fantasy,,
Aqqu,Brandon Sanderson,fantasy,,
Aradan Yomen,Brandon Sanderson,fantasy,,
Arafik,Brandon Sanderson,fantasy,,
Aramine,Brandon Sanderson,fantasy,,
Aratin Khal,Brandon Sanderson,fantasy,,
Arbitan,Brandon Sanderson,fantasy,,
Archedis,Brandon Sanderson,fantasy,,
Archinal,Brandon Sanderson,fantasy,,
Arclomedarian,Brandon Sanderson,fantasy,,
Ardous Geffenry,Brandon Sanderson,fantasy,,
Aria,Brandon Sanderson,fantasy,,
Aric,Brandon Sanderson,fantasy,,
Arik,Brandon Sanderson,fantasy,,
Arintol,Brandon Sanderson,fantasy,,
Armal,Brandon Sanderson,fantasy,,
Armando,Brandon Sanderson,fantasy,,
Armsman,Brandon Sanderson,fantasy,,
Arnaud,Brandon Sanderson,fantasy,,
Arriev,Brandon Sanderson,fantasy,,
Arshqqam,Brandon Sanderson,fantasy,,
Arsteel,Brandon Sanderson,fantasy,,
Artmyrn,Brandon Sanderson,fantasy,,
Arturo Mendez,Brandon Sanderson,fantasy,,
Ashe,Brandon Sanderson,fantasy,,
Ashelem,Brandon Sanderson,fantasy,,
Ashertmarn,Brandon Sanderson,fantasy,,
Ashgress,Brandon Sanderson,fantasy,,
Ashir,Brandon Sanderson,fantasy,,
Ashlv,Brandon Sanderson,fantasy,,
Ashno,Brandon Sanderson,fantasy,,
Ashravan,Brandon Sanderson,fantasy,,
Ashu,Brandon Sanderson,fantasy,,
Ashweather Cett,Brandon Sanderson,fantasy,,
Aslydin,Brandon Sanderson,fantasy,,
Asthta-daughter-Methista,Brandon Sanderson,fantasy,,
Atara,Brandon Sanderson,fantasy,,
Ati,Brandon Sanderson,fantasy,,
Ati (seon),Brandon Sanderson,fantasy,,
Ati/en,Brandon Sanderson,fantasy,,
Atsuko,Brandon Sanderson,fantasy,,
Attica Smedry,Brandon Sanderson,fantasy,,
Attin Balazmed,Brandon Sanderson,fantasy,,
Au-lam,Brandon Sanderson,fantasy,,
Au-nak,Brandon Sanderson,fantasy,,
Audil Lekal,Brandon Sanderson,fantasy,,
Audrey,Brandon Sanderson,fantasy,,
Augustin Tekiel,Brandon Sanderson,fantasy,,
Aunt Gin,Brandon Sanderson,fantasy,,
Ausdenec,Brandon Sanderson,fantasy,,
Australia Smedry,Brandon Sanderson,fantasy,,
Austre,Brandon Sanderson,fantasy,,
Av,Brandon Sanderson,fantasy,,
Avado,Brandon Sanderson,fantasy,,
Avarak Matal,Brandon Sanderson,fantasy,,
Avaran,Brandon Sanderson,fantasy,,
Avena,Brandon Sanderson,fantasy,,
Aving Cett,Brandon Sanderson,fantasy,,
Axies,Brandon Sanderson,fantasy,,
Axikk,Brandon Sanderson,fantasy,,
Axindweth,Brandon Sanderson,fantasy,,
Aya,Brandon Sanderson,fantasy,,
Aydee Ecks Smedry,Brandon Sanderson,fantasy,,
Azure,Brandon Sanderson,fantasy,,
B. Sablerfils,Brandon Sanderson,fantasy,,
Ba-Ado-Mishram,Brandon Sanderson,fantasy,,
Backbreaker,Brandon Sanderson,fantasy,,
Badali,Brandon Sanderson,fantasy,,
Bahmen,Brandon Sanderson,fantasy,,
Balat Davar,Brandon Sanderson,fantasy,,
Balsas,Brandon Sanderson,fantasy,,
Balubal Razon,Brandon Sanderson,fantasy,,
Banks,Brandon Sanderson,fantasy,,
Baon,Brandon Sanderson,fantasy,,
Barb,Brandon Sanderson,fantasy,,
Barkley,Brandon Sanderson,fantasy,,
Barl,Brandon Sanderson,fantasy,,
Barlesha Lhan,Brandon Sanderson,fantasy,,
Barm,Brandon Sanderson,fantasy,,
Barmest,Brandon Sanderson,fantasy,,
Bashin,Brandon Sanderson,fantasy,,
Bastien Severington,Brandon Sanderson,fantasy,,
Bastille,Brandon Sanderson,fantasy,,
Bastion,Brandon Sanderson,fantasy,,
Battar,Brandon Sanderson,fantasy,,
Bavadin,Brandon Sanderson,fantasy,,
Bavadin/es,Brandon Sanderson,fantasy,,
Bavadin/en,Brandon Sanderson,fantasy,,
Bavamar,Brandon Sanderson,fantasy,,
Baxil,Brandon Sanderson,fantasy,,
Beal,Brandon Sanderson,fantasy,,
Beard,Brandon Sanderson,fantasy,,
Beautiful Song,Brandon Sanderson,fantasy,,
Bebid,Brandon Sanderson,fantasy,,
Becca Nightshade,Brandon Sanderson,fantasy,,
Bedes,Brandon Sanderson,fantasy,,
Beggar (Kasitor),Brandon Sanderson,fantasy,,
Bekenah,Brandon Sanderson,fantasy,,
Beld,Brandon Sanderson,fantasy,,
Beldre,Brandon Sanderson,fantasy,,
Bendal,Brandon Sanderson,fantasy,,
Bendthel,Brandon Sanderson,fantasy,,
Benneh,Brandon Sanderson,fantasy,,
Bennitson,Brandon Sanderson,fantasy,,
Berbrath,Brandon Sanderson,fantasy,,
Beryl,Brandon Sanderson,fantasy,,
Besk,Brandon Sanderson,fantasy,,
Betha,Brandon Sanderson,fantasy,,
Bethab,Brandon Sanderson,fantasy,,
Bettam,Brandon Sanderson,fantasy,,
Bevidon,Brandon Sanderson,fantasy,,
Beznk,Brandon Sanderson,fantasy,,
Biblioden,Brandon Sanderson,fantasy,,
Bidlel,Brandon Sanderson,fantasy,,
Bila,Brandon Sanderson,fantasy,,
Bilg,Brandon Sanderson,fantasy,,
Bilko,Brandon Sanderson,fantasy,,
Bilmy,Brandon Sanderson,fantasy,,
Bim,Brandon Sanderson,fantasy,,
Bisig,Brandon Sanderson,fantasy,,
Blain Charleston,Brandon Sanderson,fantasy,,
Blaze,Brandon Sanderson,fantasy,,
Blended,Brandon Sanderson,fantasy,,
Blome,Brandon Sanderson,fantasy,,
Bloody Kent,Brandon Sanderson,fantasy,,
Bloody Tan,Brandon Sanderson,fantasy,,
Blue,Brandon Sanderson,fantasy,,
Blushweaver,Brandon Sanderson,fantasy,,
Bluth,Brandon Sanderson,fantasy,,
Bog,Brandon Sanderson,fantasy,,
Bookers,Brandon Sanderson,fantasy,,
Bordin,Brandon Sanderson,fantasy,,
Borea,Brandon Sanderson,fantasy,,
Boriar,Brandon Sanderson,fantasy,,
Braches,Brandon Sanderson,fantasy,,
Brade Shimabukuro,Brandon Sanderson,fantasy,,
Brainstorm,Brandon Sanderson,fantasy,,
Brakah,Brandon Sanderson,fantasy,,
Brekv,Brandon Sanderson,fantasy,,
Brettin,Brandon Sanderson,fantasy,,
Brianlia,Brandon Sanderson,fantasy,,
Brig Dartmoor,Brandon Sanderson,fantasy,,
Briggs,Brandon Sanderson,fantasy,,
Brighthue,Brandon Sanderson,fantasy,,
Brightlord Morakotha,Brandon Sanderson,fantasy,,
Brightlord Seveks,Brandon Sanderson,fantasy,,
Brightvision,Brandon Sanderson,fantasy,,
Brill,Brandon Sanderson,fantasy,,
Broken Wind,Brandon Sanderson,fantasy,,
Bru,Brandon Sanderson,fantasy,,
Bryn,Brandon Sanderson,fantasy,,
Buissonommes,Brandon Sanderson,fantasy,,
Burl (character),Brandon Sanderson,fantasy,,
Burlow,Brandon Sanderson,fantasy,,
Bussik,Brandon Sanderson,fantasy,,
Cabe,Brandon Sanderson,fantasy,,
Caberel,Brandon Sanderson,fantasy,,
Cabine,Brandon Sanderson,fantasy,,
Cadilar,Brandon Sanderson,fantasy,,
Cadon,Brandon Sanderson,fantasy,,
Cads,Brandon Sanderson,fantasy,,
Caeb,Brandon Sanderson,fantasy,,
Cael,Brandon Sanderson,fantasy,,
Caelinora,Brandon Sanderson,fantasy,,
Calaka,Brandon Sanderson,fantasy,,
Calamity (Epic),Brandon Sanderson,fantasy,,
Cali,Brandon Sanderson,fantasy,,
Calinam,Brandon Sanderson,fantasy,,
Caller of Springs,Brandon Sanderson,fantasy,,
Calling War,Brandon Sanderson,fantasy,,
Callins,Brandon Sanderson,fantasy,,
Callins Geffenry,Brandon Sanderson,fantasy,,
Calmseer,Brandon Sanderson,fantasy,,
Camon,Brandon Sanderson,fantasy,,
Campbell,Brandon Sanderson,fantasy,,
Carla,Brandon Sanderson,fantasy,,
Carlee,Brandon Sanderson,fantasy,,
Carmine Feltry,Brandon Sanderson,fantasy,,
Catnip,Brandon Sanderson,fantasy,,
Caull,Brandon Sanderson,fantasy,,
Cenn,Brandon Sanderson,fantasy,,
Cett (coach owner),Brandon Sanderson,fantasy,,
Chamrav,Brandon Sanderson,fantasy,,
Chanada,Brandon Sanderson,fantasy,,
Chananar,Brandon Sanderson,fantasy,,
Chanarach,Brandon Sanderson,fantasy,,
Chanasha Hasareh,Brandon Sanderson,fantasy,,
Chanrm,Brandon Sanderson,fantasy,,
Chapaou,Brandon Sanderson,fantasy,,
Chapmot Heviers,Brandon Sanderson,fantasy,,
Chapps,Brandon Sanderson,fantasy,,
Charisa of Utaries,Brandon Sanderson,fantasy,,
Charles Calloway,Brandon Sanderson,fantasy,,
Charlington,Brandon Sanderson,fantasy,,
Charrs Entrone,Brandon Sanderson,fantasy,,
Chaz,Brandon Sanderson,fantasy,,
Chemoarish,Brandon Sanderson,fantasy,,
Chesterton Divide,Brandon Sanderson,fantasy,,
Chilinko,Brandon Sanderson,fantasy,,
Chip (constable),Brandon Sanderson,fantasy,,
Chip (hunter),Brandon Sanderson,fantasy,,
Chip Erikell,Brandon Sanderson,fantasy,,
Chiri-Chiri,Brandon Sanderson,fantasy,,
Chivi,Brandon Sanderson,fantasy,,
Chowyun Chin,Brandon Sanderson,fantasy,,
Cimines,Brandon Sanderson,fantasy,,
Cladent,Brandon Sanderson,fantasy,,
Clamps,Brandon Sanderson,fantasy,,
Clapper,Brandon Sanderson,fantasy,,
Claude Aradel,Brandon Sanderson,fantasy,,
Cled,Brandon Sanderson,fantasy,,
Cleft-chin,Brandon Sanderson,fantasy,,
Clive,Brandon Sanderson,fantasy,,
Cloak,Brandon Sanderson,fantasy,,
Clod,Brandon Sanderson,fantasy,,
Clotide,Brandon Sanderson,fantasy,,
Cob (Mistborn),Brandon Sanderson,fantasy,,
Cob (Stormlight),Brandon Sanderson,fantasy,,
Cobble,Brandon Sanderson,fantasy,,
Cody,Brandon Sanderson,fantasy,,
Coldwin,Brandon Sanderson,fantasy,,
Coln Abrams,Brandon Sanderson,fantasy,,
Colot,Brandon Sanderson,fantasy,,
Condwish,Brandon Sanderson,fantasy,,
Conrad,Brandon Sanderson,fantasy,,
Copper Strangler,Brandon Sanderson,fantasy,,
Corberon,Brandon Sanderson,fantasy,,
Cord,Brandon Sanderson,fantasy,,
Coreb,Brandon Sanderson,fantasy,,
Corl,Brandon Sanderson,fantasy,,
Cormshen,Brandon Sanderson,fantasy,,
Corvana,Brandon Sanderson,fantasy,,
Cosahn,Brandon Sanderson,fantasy,,
Creer,Brandon Sanderson,fantasy,,
Creer boys,Brandon Sanderson,fantasy,,
Crenda,Brandon Sanderson,fantasy,,
Cressa,Brandon Sanderson,fantasy,,
Crews Geffenry,Brandon Sanderson,fantasy,,
Crossmark,Brandon Sanderson,fantasy,,
Culee,Brandon Sanderson,fantasy,,
Cuna,Brandon Sanderson,fantasy,,
Curveball,Brandon Sanderson,fantasy,,
Cusicesh,Brandon Sanderson,fantasy,,
Cyn,Brandon Sanderson,fantasy,,
Cynder,Brandon Sanderson,fantasy,,
Dabbid,Brandon Sanderson,fantasy,,
Daggon,Brandon Sanderson,fantasy,,
Dahad,Brandon Sanderson,fantasy,,
Dai-Gonarthis,Brandon Sanderson,fantasy,,
Daius,Brandon Sanderson,fantasy,,
Dakhnah,Brandon Sanderson,fantasy,,
Dalar,Brandon Sanderson,fantasy,,
Dali,Brandon Sanderson,fantasy,,
Dalinar Kholin,Brandon Sanderson,fantasy,,
Dalinar Kholin/en,Brandon Sanderson,fantasy,,
Dalinar's father,Brandon Sanderson,fantasy,,
Dalksi,Brandon Sanderson,fantasy,,
Dallet,Brandon Sanderson,fantasy,,
Dandos Heraldin,Brandon Sanderson,fantasy,,
Danlan Morakotha,Brandon Sanderson,fantasy,,
Daora,Brandon Sanderson,fantasy,,
